id,nome,partido,uf,email
74057,Alice Portugal,PCdoB,BA,dep.aliceportugal@camara.leg.br
178927,Aliel Machado,PV,PR,dep.alielmachado@camara.leg.br
226708,Allan Garcês,PP,MA,dep.allangarces@camara.leg.br
178937,Altineu Côrtes,PL,RJ,dep.altineucortes@camara.leg.br
178881,Aluisio Mendes,REPUBLICANOS,MA,dep.aluisiomendes@camara.leg.br
204356,Amaro Neto,REPUBLICANOS,ES,dep.amaroneto@camara.leg.br
220715,Amom Mandel,CIDADANIA,AM,dep.amommandel@camara.leg.br
107970,Ana Paula Leão,PP,MG,dep.anapaulaleao@camara.leg.br
220556,Ana Paula Lima,PT,SC,dep.anapaulalima@camara.leg.br
220632,Ana Pimentel,PT,MG,dep.anapimentel@camara.leg.br
220657,André Fernandes,PL,CE,dep.andrefernandes@camara.leg.br
204423,André Ferreira,PL,PE,dep.andreferreira@camara.leg.br
133439,André Figueiredo,PDT,CE,dep.andrefigueiredo@camara.leg.br
204515,André Janones,AVANTE,MG,dep.andrejanones@camara.leg.br
220676,Andreia Siqueira,MDB,PA,dep.andreiasiqueira@camara.leg.br
123756,Antônia Lúcia,REPUBLICANOS,AC,dep.antonialucia@camara.leg.br
220544,Antonio Andrade,REPUBLICANOS,TO,dep.antonioandrade@camara.leg.br
160553,Antonio Brito,PSD,BA,dep.antoniobrito@camara.leg.br
220638,Antonio Carlos Rodrigues,PL,SP,dep.antoniocarlosrodrigues@camara.leg.br
220675,Antônio Doido,MDB,PA,dep.antoniodoido@camara.leg.br
220549,Any Ortiz,CIDADANIA,RS,dep.anyortiz@camara.leg.br
73433,Arlindo Chinaglia,PT,SP,dep.arlindochinaglia@camara.leg.br
141391,Arnaldo Jardim,CIDADANIA,SP,dep.arnaldojardim@camara.leg.br
160541,Arthur Lira,PP,AL,dep.arthurlira@camara.leg.br
160600,Arthur Oliveira Maia,UNIÃO,BA,dep.arthuroliveiramaia@camara.leg.br
74090,Átila Lins,PSD,AM,dep.atilalins@camara.leg.br
123086,Átila Lira,PP,PI,dep.atilalira@camara.leg.br
160665,Augusto Coutinho,REPUBLICANOS,PE,dep.augustocoutinho@camara.leg.br
220577,Augusto Puppio,MDB,AP,dep.augustopuppio@camara.leg.br
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,dep.aureoribeiro@camara.leg.br
69871,Bacelar,PV,BA,dep.bacelar@camara.leg.br
178975,Baleia Rossi,MDB,SP,dep.baleiarossi@camara.leg.br
220605,Bandeira de Mello,PSB,RJ,dep.bandeirademello@camara.leg.br
220612,Bebeto,PP,RJ,dep.bebeto@camara.leg.br
73701,Benedita da Silva,PT,RJ,dep.beneditadasilva@camara.leg.br
109429,Benes Leocádio,UNIÃO,RN,dep.benesleocadio@camara.leg.br
204358,Beto Pereira,PSDB,MS,dep.betopereira@camara.leg.br
220698,Beto Preto,PSD,PR,dep.betopreto@camara.leg.br
220683,Beto Richa,PSDB,PR,dep.betoricha@camara.leg.br
204374,Bia Kicis,PL,DF,dep.biakicis@camara.leg.br
204388,Bibo Nunes,PL,RS,dep.bibonunes@camara.leg.br
160538,Bohn Gass,PT,RS,dep.bohngass@camara.leg.br
74052,Bosco Costa,PL,SE,dep.boscocosta@camara.leg.br
210989,Bruno Farias,AVANTE,MG,dep.brunofarias@camara.leg.br
220635,Bruno Ganem,PODE,SP,dep.brunoganem@camara.leg.br
220574,Cabo Gilberto Silva,PL,PB,dep.cabogilbertosilva@camara.leg.br
220548,Camila Jara,PT,MS,dep.camilajara@camara.leg.br
204572,Capitão Alberto Neto,PL,AM,dep.capitaoalbertoneto@camara.leg.br
220690,Capitão Alden,PL,BA,dep.capitaoalden@camara.leg.br
178829,Capitão Augusto,PL,SP,dep.capitaoaugusto@camara.leg.br
229069,Capitão Samuel,PP,SE,dep.capitaosamuel@camara.leg.br
229106,Carla Ayres,PT,SC,dep.carlaayres@camara.leg.br
204507,Carla Zambelli,PL,SP,dep.carlazambelli@camara.leg.br
178993,Carlos Henrique Gaguim,UNIÃO,TO,dep.carloshenriquegaguim@camara.leg.br
74262,Carlos Sampaio,PSD,SP,dep.carlossampaio@camara.leg.br
204426,Carlos Veras,PT,PE,dep.carlosveras@camara.leg.br
141398,Carlos Zarattini,PT,SP,dep.carloszarattini@camara.leg.br
164360,Carmen Zanotto,CIDADANIA,SC,dep.carmenzanotto@camara.leg.br
220704,Carol Dartora,PT,PR,dep.caroldartora@camara.leg.br
204369,Caroline de Toni,PL,SC,dep.carolinedetoni@camara.leg.br
220699,Castro Neto,PSD,PI,dep.castroneto@camara.leg.br
206018,Célia Xakriabá,PSOL,MG,dep.celiaxakriaba@camara.leg.br
178876,Célio Silveira,MDB,GO,dep.celiosilveira@camara.leg.br
204488,Célio Studart,PSD,CE,dep.celiostudart@camara.leg.br
73441,Celso Russomanno,REPUBLICANOS,SP,dep.celsorussomanno@camara.leg.br
204504,Cezinha de Madureira,PSD,SP,dep.cezinhademadureira@camara.leg.br
205476,Charles Fernandes,PSD,BA,dep.charlesfernandes@camara.leg.br
74171,Chico Alencar,PSOL,RJ,dep.chicoalencar@camara.leg.br
204476,Chiquinho Brazão,S.PART.,RJ,dep.chiquinhobrazao@camara.leg.br
204462,Chris Tonietto,PL,RJ,dep.christonietto@camara.leg.br
74537,Claudio Cajado,PP,BA,dep.claudiocajado@camara.leg.br
141408,Cleber Verde,MDB,MA,dep.cleberverde@camara.leg.br
88256,Clodoaldo Magalhães,PV,PE,dep.clodoaldomagalhaes@camara.leg.br
98148,Cobalchini,MDB,SC,dep.cobalchini@camara.leg.br
220594,Coronel Assis,UNIÃO,MT,dep.coronelassis@camara.leg.br
204378,Coronel Chrisóstomo,PL,RO,dep.coronelchrisostomo@camara.leg.br
220595,Coronel Fernanda,PL,MT,dep.coronelfernanda@camara.leg.br
220666,Coronel Meira,PL,PE,dep.coronelmeira@camara.leg.br
220590,Coronel Ulysses,UNIÃO,AC,dep.coronelulysses@camara.leg.br
178963,Covatti Filho,PP,RS,dep.covattifilho@camara.leg.br
220608,Cristiane Lopes,UNIÃO,RO,dep.cristianelopes@camara.leg.br
204355,Da Vitoria,PP,ES,dep.davitoria@camara.leg.br
141411,Dagoberto Nogueira,PSDB,MS,dep.dagobertonogueira@camara.leg.br
220555,Daiana Santos,PCdoB,RS,dep.daianasantos@camara.leg.br
220692,Dal Barreto,UNIÃO,BA,dep.dalbarreto@camara.leg.br
74467,Damião Feliciano,UNIÃO,PB,dep.damiaofeliciano@camara.leg.br
220629,Dandara,PT,MG,dep.dandara@camara.leg.br
220603,Dani Cunha,UNIÃO,RJ,dep.danicunha@camara.leg.br
220571,Daniel Agrobom,PL,GO,dep.danielagrobom@camara.leg.br
74060,Daniel Almeida,PCdoB,BA,dep.danielalmeida@camara.leg.br
220582,Daniel Barbosa,PP,AL,dep.danielbarbosa@camara.leg.br
204367,Daniel Freitas,PL,SC,dep.danielfreitas@camara.leg.br
228941,Daniel José,PODE,SP,dep.danieljose@camara.leg.br
204409,Daniel Trzeciak,PSDB,RS,dep.danieltrzeciak@camara.leg.br
204459,Daniela do Waguinho,UNIÃO,RJ,dep.danieladowaguinho@camara.leg.br
220557,Daniela Reinehr,PL,SC,dep.danielareinehr@camara.leg.br
62881,Danilo Forte,UNIÃO,CE,dep.daniloforte@camara.leg.br
116379,Darci de Matos,PSD,SC,dep.darcidematos@camara.leg.br
204511,David Soares,UNIÃO,SP,dep.davidsoares@camara.leg.br
220659,Dayany Bittencourt,UNIÃO,CE,dep.dayanybittencourt@camara.leg.br
220539,Defensor Stélio Dener,REPUBLICANOS,RR,dep.defensorsteliodener@camara.leg.br
220565,Delegada Adriana Accorsi,PT,GO,dep.delegadaadrianaaccorsi@camara.leg.br
220625,Delegada Ione,AVANTE,MG,dep.delegadaione@camara.leg.br
220561,Delegada Katarina,PSD,SE,dep.delegadakatarina@camara.leg.br
220642,Delegado Bruno Lima,PP,SP,dep.delegadobrunolima@camara.leg.br
220673,Delegado Caveira,PL,PA,dep.delegadocaveira@camara.leg.br
220649,Delegado da Cunha,PP,SP,dep.delegadodacunha@camara.leg.br
178908,Delegado Éder Mauro,PL,PA,dep.delegadoedermauro@camara.leg.br
220583,Delegado Fabio Costa,PP,AL,dep.delegadofabiocosta@camara.leg.br
204512,Delegado Marcelo Freitas,UNIÃO,MG,dep.delegadomarcelofreitas@camara.leg.br
220701,Delegado Matheus Laiola,UNIÃO,PR,dep.delegadomatheuslaiola@camara.leg.br
220652,Delegado Palumbo,MDB,SP,dep.delegadopalumbo@camara.leg.br
220654,Delegado Paulo Bilynskyj,PL,SP,dep.delegadopaulobilynskyj@camara.leg.br
220619,Delegado Ramagem,PL,RJ,dep.delegadoramagem@camara.leg.br
220553,Denise Pessôa,PT,RS,dep.denisepessoa@camara.leg.br
220689,Detinha,PL,MA,dep.detinha@camara.leg.br
160588,Diego Andrade,PSD,MG,dep.diegoandrade@camara.leg.br
220691,Diego Coronel,PSD,BA,dep.diegocoronel@camara.leg.br
178929,Diego Garcia,REPUBLICANOS,PR,dep.diegogarcia@camara.leg.br
73768,Dilceu Sperafico,PP,PR,dep.dilceusperafico@camara.leg.br
220671,Dilvanda Faro,PT,PA,dep.dilvandafaro@camara.leg.br
160599,Dimas Fabiano,PP,MG,dep.dimasfabiano@camara.leg.br
220602,Dimas Gadelha,PT,RJ,dep.dimasgadelha@camara.leg.br
143632,Domingos Neto,PSD,CE,dep.domingosneto@camara.leg.br
160758,Domingos Sávio,PL,MG,dep.domingossavio@camara.leg.br
220573,Dorinaldo Malafaia,PDT,AP,dep.dorinaldomalafaia@camara.leg.br
227433,Douglas Viegas,UNIÃO,SP,dep.douglasviegas@camara.leg.br
204450,Doutor Luizinho,PP,RJ,dep.doutorluizinho@camara.leg.br
227991,Dr Flávio,PL,RJ,dep.drflavio@camara.leg.br
221339,Dr. Benjamim,UNIÃO,MA,dep.dr.benjamim@camara.leg.br
220614,Dr. Daniel Soranz,PSD,RJ,dep.dr.danielsoranz@camara.leg.br
220610,Dr. Fernando Máximo,UNIÃO,RO,dep.dr.fernandomaximo@camara.leg.br
220688,Dr. Francisco,PT,PI,dep.dr.francisco@camara.leg.br
204518,Dr. Frederico,PRD,MG,dep.dr.frederico@camara.leg.br
212625,Dr. Gonçalo,PODE,MA,dep.dr.goncalo@camara.leg.br
204481,Dr. Jaziel,PL,CE,dep.dr.jaziel@camara.leg.br
204351,Dr. Luiz Ovando,PP,MS,dep.dr.luizovando@camara.leg.br
228616,Dr. Remy Soares,PP,MA,dep.dr.remysoares@camara.leg.br
220528,Dr. Victor Linhalis,PODE,ES,dep.dr.victorlinhalis@camara.leg.br
204412,Dr. Zacharias Calil,UNIÃO,GO,dep.dr.zachariascalil@camara.leg.br
220674,Dra. Alessandra Haber,MDB,PA,dep.dra.alessandrahaber@camara.leg.br
220686,Duarte Jr.,PSB,MA,dep.duartejr@camara.leg.br
220540,Duda Ramos,MDB,RR,dep.dudaramos@camara.leg.br
220623,Duda Salabert,PDT,MG,dep.dudasalabert@camara.leg.br
204541,Eduardo Bismarck,PDT,CE,dep.eduardobismarck@camara.leg.br
92346,Eduardo Bolsonaro,PL,SP,dep.eduardobolsonaro@camara.leg.br
141421,Eduardo da Fonte,PP,PE,dep.eduardodafonte@camara.leg.br
220589,Eduardo Velloso,UNIÃO,AC,dep.eduardovelloso@camara.leg.br
74075,Elcione Barbalho,MDB,PA,dep.elcionebarbalho@camara.leg.br
229585,Elisangela Araujo,PT,BA,dep.elisangelaaraujo@camara.leg.br
220008,Eliza Virgínia,PP,PB,dep.elizavirginia@camara.leg.br
178854,Elmar Nascimento,UNIÃO,BA,dep.elmarnascimento@camara.leg.br
218086,Ely Santos,REPUBLICANOS,SP,dep.elysantos@camara.leg.br
198783,Emanuel Pinheiro Neto,MDB,MT,dep.emanuelpinheironeto@camara.leg.br
161550,Emidinho Madeira,PL,MG,dep.emidinhomadeira@camara.leg.br
220663,Eriberto Medeiros,PSB,PE,dep.eribertomedeiros@camara.leg.br
220645,Erika Hilton,PSOL,SP,dep.erikahilton@camara.leg.br
160575,Erika Kokay,PT,DF,dep.erikakokay@camara.leg.br
160640,Eros Biondini,PL,MG,dep.erosbiondini@camara.leg.br
204482,Euclydes Pettersen,REPUBLICANOS,MG,dep.euclydespettersen@camara.leg.br
74454,Eunício Oliveira,MDB,CE,dep.euniciooliveira@camara.leg.br
178871,Evair Vieira de Melo,PP,ES,dep.evairvieirademelo@camara.leg.br
68720,Fábio Henrique,UNIÃO,SE,dep.fabiohenrique@camara.leg.br
204368,Fabio Schiochet,UNIÃO,SC,dep.fabioschiochet@camara.leg.br
220653,Fábio Teruel,MDB,SP,dep.fabioteruel@camara.leg.br
66828,Fausto Pinato,PP,SP,dep.faustopinato@camara.leg.br
72442,Felipe Carreras,PSB,PE,dep.felipecarreras@camara.leg.br
204398,Felipe Francischini,UNIÃO,PR,dep.felipefrancischini@camara.leg.br
160666,Félix Mendonça Júnior,PDT,BA,dep.felixmendoncajunior@camara.leg.br
204407,Fernanda Melchionna,PSOL,RS,dep.fernandamelchionna@camara.leg.br
220656,Fernanda Pessoa,UNIÃO,CE,dep.fernandapessoa@camara.leg.br
141431,Fernando Coelho Filho,UNIÃO,PE,dep.fernandocoelhofilho@camara.leg.br
204445,Fernando Mineiro,PT,RN,dep.fernandomineiro@camara.leg.br
92699,Fernando Monteiro,PP,PE,dep.fernandomonteiro@camara.leg.br
204427,Fernando Rodolfo,PL,PE,dep.fernandorodolfo@camara.leg.br
204411,Filipe Barros,PL,PR,dep.filipebarros@camara.leg.br
220545,Filipe Martins,PL,TO,dep.filipemartins@camara.leg.br
160598,Flávia Morais,PDT,GO,dep.flaviamorais@camara.leg.br
191923,Flávio Nogueira,PT,PI,dep.flavionogueira@camara.leg.br
220700,Florentino Neto,PT,PI,dep.florentinoneto@camara.leg.br
220551,Franciane Bayer,REPUBLICANOS,RS,dep.francianebayer@camara.leg.br
204494,Fred Costa,PRD,MG,dep.fredcosta@camara.leg.br
220534,Fred Linhares,REPUBLICANOS,DF,dep.fredlinhares@camara.leg.br
224117,Gabriel Mota,REPUBLICANOS,RR,dep.gabrielmota@camara.leg.br
220708,Gabriel Nunes,PSD,BA,dep.gabrielnunes@camara.leg.br
204473,General Girão,PL,RN,dep.generalgirao@camara.leg.br
220611,General Pazuello,PL,RJ,dep.generalpazuello@camara.leg.br
220702,Geraldo Mendes,UNIÃO,PR,dep.geraldomendes@camara.leg.br
74374,Geraldo Resende,PSDB,MS,dep.geraldoresende@camara.leg.br
220587,Gerlen Diniz,PP,AC,dep.gerlendiniz@camara.leg.br
204394,Gervásio Maia,PSB,PB,dep.gervasiomaia@camara.leg.br
74383,Giacobo,PL,PR,dep.giacobo@camara.leg.br
204491,Gilberto Abramo,REPUBLICANOS,MG,dep.gilbertoabramo@camara.leg.br
74270,Gilberto Nascimento,PSD,SP,dep.gilbertonascimento@camara.leg.br
220529,Gilson Daniel,PODE,ES,dep.gilsondaniel@camara.leg.br
204365,Gilson Marques,NOVO,SC,dep.gilsonmarques@camara.leg.br
220526,Gilvan da Federal,PL,ES,dep.gilvandafederal@camara.leg.br
220531,Gilvan Maximo,REPUBLICANOS,DF,dep.gilvanmaximo@camara.leg.br
160673,Giovani Cherini,PL,RS,dep.giovanicherini@camara.leg.br
226179,Gisela Simona,UNIÃO,MT,dep.giselasimona@camara.leg.br
152605,Glauber Braga,PSOL,RJ,dep.glauberbraga@camara.leg.br
229333,Gláucia Santiago,PL,MG,dep.glauciasantiago@camara.leg.br
204419,Glaustin da Fokus,PODE,GO,dep.glaustindafokus@camara.leg.br
107283,Gleisi Hoffmann,PT,PR,dep.gleisihoffmann@camara.leg.br
198197,Greyce Elias,AVANTE,MG,dep.greyceelias@camara.leg.br
220639,Guilherme Boulos,PSOL,SP,dep.guilhermeboulos@camara.leg.br
220664,Guilherme Uchoa,PSB,PE,dep.guilhermeuchoa@camara.leg.br
220568,Gustavo Gayer,PL,GO,dep.gustavogayer@camara.leg.br
204408,Gustinho Ribeiro,REPUBLICANOS,SE,dep.gustinhoribeiro@camara.leg.br
204456,Gutemberg Reis,MDB,RJ,dep.gutembergreis@camara.leg.br
178964,Heitor Schuch,PSB,RS,dep.heitorschuch@camara.leg.br
178873,Helder Salomão,PT,ES,dep.heldersalomao@camara.leg.br
220537,Helena Lima,MDB,RR,dep.helenalima@camara.leg.br
178909,Hélio Leite,UNIÃO,PA,dep.helioleite@camara.leg.br
204444,Helio Lopes,PL,RJ,dep.heliolopes@camara.leg.br
220672,Henderson Pinto,MDB,PA,dep.hendersonpinto@camara.leg.br
204539,Hercílio Coelho Diniz,MDB,MG,dep.herciliocoelhodiniz@camara.leg.br
178884,Hildo Rocha,MDB,MA,dep.hildorocha@camara.leg.br
141450,Hugo Leal,PSD,RJ,dep.hugoleal@camara.leg.br
160674,Hugo Motta,REPUBLICANOS,PB,dep.hugomotta@camara.leg.br
204533,Idilvan Alencar,PDT,CE,dep.idilvanalencar@camara.leg.br
204508,Igor Timo,PODE,MG,dep.igortimo@camara.leg.br
98615,Ismael,PSD,SC,dep.ismael@camara.leg.br
220570,Ismael Alexandrino,PSD,GO,dep.ismaelalexandrino@camara.leg.br
204436,Isnaldo Bulhões Jr.,MDB,AL,dep.isnaldobulhoesjr@camara.leg.br
73531,Ivan Valente,PSOL,SP,dep.ivanvalente@camara.leg.br
220696,Ivoneide Caetano,PT,BA,dep.ivoneidecaetano@camara.leg.br
220670,Iza Arruda,MDB,PE,dep.izaarruda@camara.leg.br
220527,Jack Rocha,PT,ES,dep.jackrocha@camara.leg.br
220697,Jadyel Alencar,REPUBLICANOS,PI,dep.jadyelalencar@camara.leg.br
74848,Jandira Feghali,PCdoB,RJ,dep.jandirafeghali@camara.leg.br
220567,Jeferson Rodrigues,REPUBLICANOS,GO,dep.jefersonrodrigues@camara.leg.br
74273,Jefferson Campos,PL,SP,dep.jeffersoncampos@camara.leg.br
141456,Jilmar Tatto,PT,SP,dep.jilmartatto@camara.leg.br
141458,João Carlos Bacelar,PL,BA,dep.joaocarlosbacelar@camara.leg.br
178970,João Daniel,PT,SE,dep.joaodaniel@camara.leg.br
74550,João Leão,PP,BA,dep.joaoleao@camara.leg.br
141459,João Maia,PP,RN,dep.joaomaia@camara.leg.br
178910,Joaquim Passarinho,PL,PA,dep.joaquimpassarinho@camara.leg.br
160548,Jonas Donizette,PSB,SP,dep.jonasdonizette@camara.leg.br
205550,Jorge Braz,REPUBLICANOS,RJ,dep.jorgebraz@camara.leg.br
214694,Jorge Goetten,REPUBLICANOS,SC,dep.jorgegoetten@camara.leg.br
178857,Jorge Solla,PT,BA,dep.jorgesolla@camara.leg.br
141464,José Airton Félix Cirilo,PT,CE,dep.joseairtonfelixcirilo@camara.leg.br
141470,José Guimarães,PT,CE,dep.joseguimaraes@camara.leg.br
204472,José Medeiros,PL,MT,dep.josemedeiros@camara.leg.br
204391,José Nelto,UNIÃO,GO,dep.josenelto@camara.leg.br
74079,José Priante,MDB,PA,dep.josepriante@camara.leg.br
74554,José Rocha,UNIÃO,BA,dep.joserocha@camara.leg.br
209189,Joseildo Ramos,PT,BA,dep.joseildoramos@camara.leg.br
220578,Josenildo,PDT,AP,dep.josenildo@camara.leg.br
74141,Josias Gomes,PT,BA,dep.josiasgomes@camara.leg.br
204563,Josimar Maranhãozinho,PL,MA,dep.josimarmaranhaozinho@camara.leg.br
215043,Josivaldo JP,PSD,MA,dep.josivaldojp@camara.leg.br
220559,Julia Zanatta,PL,SC,dep.juliazanatta@camara.leg.br
220640,Juliana Cardoso,PT,SP,dep.julianacardoso@camara.leg.br
228837,Juliana Kolankiewicz,MDB,MT,dep.julianakolankiewicz@camara.leg.br
66385,Julio Arcoverde,PP,PI,dep.julioarcoverde@camara.leg.br
74317,Júlio Cesar,PSD,PI,dep.juliocesar@camara.leg.br
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,dep.juliocesarribeiro@camara.leg.br
74253,Julio Lopes,PP,RJ,dep.juliolopes@camara.leg.br
228797,Júlio Oliveira,PP,TO,dep.juliooliveira@camara.leg.br
204457,Juninho do Pneu,UNIÃO,RJ,dep.juninhodopneu@camara.leg.br
204497,Júnior Ferrari,PSD,PA,dep.juniorferrari@camara.leg.br
204574,Junior Lourenço,PL,MA,dep.juniorlourenco@camara.leg.br
204550,Júnior Mano,PL,CE,dep.juniormano@camara.leg.br
220677,Keniston Braga,MDB,PA,dep.kenistonbraga@camara.leg.br
162067,Kiko Celeguim,PT,SP,dep.kikoceleguim@camara.leg.br
204536,Kim Kataguiri,UNIÃO,SP,dep.kimkataguiri@camara.leg.br
98057,Lafayette de Andrada,REPUBLICANOS,MG,dep.lafayettedeandrada@camara.leg.br
74856,Laura Carneiro,PSD,RJ,dep.lauracarneiro@camara.leg.br
141480,Lázaro Botelho,PP,TO,dep.lazarobotelho@camara.leg.br
220600,Lebrão,UNIÃO,RO,dep.lebrao@camara.leg.br
220566,Lêda Borges,PSDB,GO,dep.ledaborges@camara.leg.br
80815,Leo Prates,PDT,BA,dep.leoprates@camara.leg.br
122195,Leonardo Gadelha,PODE,PB,dep.leonardogadelha@camara.leg.br
74156,Leonardo Monteiro,PT,MG,dep.leonardomonteiro@camara.leg.br
92102,Leur Lomanto Júnior,UNIÃO,BA,dep.leurlomantojunior@camara.leg.br
139285,Lídice da Mata,PSB,BA,dep.lidicedamata@camara.leg.br
74585,Lincoln Portela,PL,MG,dep.lincolnportela@camara.leg.br
74858,Lindbergh Farias,PT,RJ,dep.lindberghfarias@camara.leg.br
220662,Lucas Ramos,PSB,PE,dep.lucasramos@camara.leg.br
204404,Lucas Redecker,PSDB,RS,dep.lucasredecker@camara.leg.br
220581,Luciano Amaral,PV,AL,dep.lucianoamaral@camara.leg.br
103758,Luciano Azevedo,PSD,RS,dep.lucianoazevedo@camara.leg.br
74478,Luciano Bivar,UNIÃO,PE,dep.lucianobivar@camara.leg.br
178931,Luciano Ducci,PSB,PR,dep.lucianoducci@camara.leg.br
220616,Luciano Vieira,REPUBLICANOS,RJ,dep.lucianovieira@camara.leg.br
178954,Lucio Mosquini,MDB,RO,dep.luciomosquini@camara.leg.br
229082,Lucyana Genésio,PDT,MA,dep.lucyanagenesio@camara.leg.br
222429,Luis Carlos Gomes,REPUBLICANOS,RJ,dep.luiscarlosgomes@camara.leg.br
160510,Luis Tibé,AVANTE,MG,dep.luistibe@camara.leg.br
204410,Luisa Canziani,PSD,PR,dep.luisacanziani@camara.leg.br
141485,Luiz Carlos Busato,UNIÃO,RS,dep.luizcarlosbusato@camara.leg.br
73778,Luiz Carlos Hauly,PODE,PR,dep.luizcarloshauly@camara.leg.br
204485,Luiz Carlos Motta,PL,SP,dep.luizcarlosmotta@camara.leg.br
74041,Luiz Couto,PT,PB,dep.luizcouto@camara.leg.br
141487,Luiz Fernando Faria,PSD,MG,dep.luizfernandofaria@camara.leg.br
229432,Luiz Fernando Vampiro,MDB,SC,dep.luizfernandovampiro@camara.leg.br
220658,Luiz Gastão,PSD,CE,dep.luizgastao@camara.leg.br
204455,Luiz Lima,PL,RJ,dep.luizlima@camara.leg.br
162332,Luiz Nishimori,PSD,PR,dep.luiznishimori@camara.leg.br
204526,Luiz Philippe de Orleans e Bragança,PL,SP,dep.luizphilippedeorleansebraganca@camara.leg.br
74784,Luiza Erundina,PSOL,SP,dep.luizaerundina@camara.leg.br
178866,Luizianne Lins,PT,CE,dep.luiziannelins@camara.leg.br
220669,Lula da Fonte,PP,PE,dep.luladafonte@camara.leg.br
166402,Magda Mofatto,PRD,GO,dep.magdamofatto@camara.leg.br
220648,Marangoni,UNIÃO,SP,dep.marangoni@camara.leg.br
156190,Marcel van Hattem,NOVO,RS,dep.marcelvanhattem@camara.leg.br
179000,Marcelo Álvaro Antônio,PL,MG,dep.marceloalvaroantonio@camara.leg.br
220599,Marcelo Crivella,REPUBLICANOS,RJ,dep.marcelocrivella@camara.leg.br
133810,Marcelo Moraes,PL,RS,dep.marcelomoraes@camara.leg.br
160161,Marcelo Queiroz,PP,RJ,dep.marceloqueiroz@camara.leg.br
178983,Marcio Alvino,PL,SP,dep.marcioalvino@camara.leg.br
179001,Márcio Biolchi,MDB,RS,dep.marciobiolchi@camara.leg.br
81055,Márcio Jerry,PCdoB,MA,dep.marciojerry@camara.leg.br
150418,Márcio Marinho,REPUBLICANOS,BA,dep.marciomarinho@camara.leg.br
219585,Marco Brasil,PP,PR,dep.marcobrasil@camara.leg.br
160535,Marcon,PT,RS,dep.marcon@camara.leg.br
204431,Marcos Aurélio Sampaio,PSD,PI,dep.marcosaureliosampaio@camara.leg.br
204506,Marcos Pereira,REPUBLICANOS,SP,dep.marcospereira@camara.leg.br
220547,Marcos Pollon,PL,MS,dep.marcospollon@camara.leg.br
178943,Marcos Soares,UNIÃO,RJ,dep.marcossoares@camara.leg.br
220604,Marcos Tavares,PDT,RJ,dep.marcostavares@camara.leg.br
220668,Maria Arraes,SOLIDARIEDADE,PE,dep.mariaarraes@camara.leg.br
74398,Maria do Rosário,PT,RS,dep.mariadorosario@camara.leg.br
204540,Maria Rosas,REPUBLICANOS,SP,dep.mariarosas@camara.leg.br
220655,Mario Frias,PL,SP,dep.mariofrias@camara.leg.br
74158,Mário Heringer,PDT,MG,dep.marioheringer@camara.leg.br
178858,Mário Negromonte Jr.,PP,BA,dep.marionegromontejr@camara.leg.br
204566,Marreca Filho,PRD,MA,dep.marrecafilho@camara.leg.br
220572,Marussa Boldrin,MDB,GO,dep.marussaboldrin@camara.leg.br
178843,Marx Beltrão,PP,AL,dep.marxbeltrao@camara.leg.br
220661,Matheus Noronha,PL,CE,dep.matheusnoronha@camara.leg.br
220609,Maurício Carvalho,UNIÃO,RO,dep.mauriciocarvalho@camara.leg.br
